id,Agent,LStreet,LCity,LState,LZip,Deactivation,County
105960,Go Mart #05,361 Main St,Spencer,WV,25276,30-Jun-21,ROANE
106037,Speedway #9035,254 Washington St,Ravenswood,WV,26164,30-Jun-21,JACKSON
106046,Speedway #9777,3401 Emerson Ave,Parkersburg,WV,26101,30-Jun-19,WOOD
106055,Speedway #9163,28th & Jackson Ave,Point Pleasant,WV,25550,30-Jun-21,MASON
106064,Speedway #9200,3211 Murdoch Ave,Parkersburg,WV,26101,30-Jun-21,WOOD
106279,Point Pleasant Piggly Wiggly,302 Third St,Point Pleasant,WV,25550,30-Jun-21,MASON
108220,Nash'S Mini Mart & Deli,3601 West St,Weirton,WV,26062,30-Jun-20,HANCOCK
108413,Par Mar  #10,701 Chelsea St,Sistersville,WV,26175,30-Jun-21,TYLER
108606,Quik Mart & More,3627 Main St,Weirton,WV,26062,30-Jun-21,HANCOCK
108789,S & V Exxon,111 Marshall St,Benwood,WV,26031,30-Jun-21,MARSHALL
108963,Speedway #9083,Wv Rt 2 & 1407 Wheeling Ave,Glen Dale,WV,26038,30-Jun-17,MARSHALL
108972,Speedway #9170,132 N St Route 2,New Martinsville,WV,26155,30-Jun-21,WETZEL
109464,Ye Olde Alpha,50 Carmel Rd,Wheeling,WV,26003,30-Jun-20,OHIO
109828,All Star Grocery,Old Rt 50 W,Reynoldsville,WV,26422,30-Jun-20,HARRISON
109973,Belmont Motor Inn Hot Spot,608 Bellview Blvd,Fairmont,WV,26554,30-Jun-16,MARION
109991,Bfs Foods  #30,169 Fairchance Rd,Morgantown,WV,26508,30-Jun-21,MONONGALIA
110090,Go Mart #17,809 W Main St,Bridgeport,WV,26330,30-Jun-21,HARRISON
110135,Bylo Mart,1610 Locust Ave,Fairmont,WV,26554,30-Jun-21,MARION
110513,Dairy Mart Foods  #3,1157 Van Voorhis Rd,Morgantown,WV,26505,30-Jun-16,MONONGALIA
110586,Dairy Mart Foods  #72,1287 Richwood Ave,Morgantown,WV,26505,30-Jun-16,MONONGALIA
110603,Dairy Mart Foods  #74,600 Willey St,Morgantown,WV,26505,30-Jun-16,MONONGALIA
111026,Giant Eagle  #59,130 Greenbag Rd,Morgantown,WV,26505,30-Jun-21,MONONGALIA
111071,Handi Mart,Rt 1 Box 60 A,Worthington,WV,26591,30-Jun-19,MARION
111375,Kroger  #755,1851 Earl L Core Rd,Morgantown,WV,26505,30-Jun-21,MONONGALIA
111384,Kroger  #688,770 W Pike St,Clarksburg,WV,26301,30-Jun-21,HARRISON
111400,Kroger  #714,350 Patterson Dr,Morgantown,WV,26505,30-Jun-21,MONONGALIA
111428,Kroger  #773,198 Emily Dr,Clarksburg,WV,26301,30-Jun-21,HARRISON
111660,Go Mart #35,900 Milford St,Clarksburg,WV,26301,30-Jun-21,HARRISON
111884,North Pole Ice Services,607 Monticello Ave,Clarksburg,WV,26301,30-Jun-20,HARRISON
111982,Pine Run Service Center,Rt 3 Box 81,Bruceton Mills,WV,26525,30-Jun-21,PRESTON
112335,Go Mart #29,604 S Pike St,Shinnston,WV,26431,30-Jun-21,HARRISON
112487,Sunset Ellis Restaurant,5776 Shinnston Pike,Meadowbrook,WV,26404,30-Jun-20,HARRISON
112496,Speedway #9028,635 W Main St,Bridgeport,WV,26330,30-Jun-21,HARRISON
112511,Speedway #9780,1612 Buckhannon Pike,Clarksburg,WV,26301,30-Jun-21,HARRISON
112955,W W Service Center,Rt 2 Box 68 B,Tunnelton,WV,26444,30-Jun-21,PRESTON
113024,The Coffee Bar,96 Us Hwy 33 E,Weston,WV,26452,30-Jun-21,LEWIS
113033,Go Mart #04,306 Center Ave,Weston,WV,26452,30-Jun-21,LEWIS
113262,Bedington Crossroads,4081 Williamsport Pike,Martinsburg,WV,25404,30-Jun-21,BERKELEY
113368,Crowell'S Village Store,805 N Queen St,Martinsburg,WV,25401,30-Jun-21,BERKELEY
113551,Hawse Shop N Save,745 N Main St,Moorefield,WV,26836,30-Jun-21,HARDY
113955,L & M Market,15665 Northwestern Pike,Augusta,WV,26704,30-Jun-21,HAMPSHIRE
114005,Misty Valley Hardware-Grocery,12834 St Rt 259,Mathias,WV,26812,30-Jun-21,HARDY
114078,Omps Grocery,Route 127,Bloomery,WV,26817,30-Jun-17,HAMPSHIRE
114205,Roy'S Service Center,205 S Washington St,Berkeley Springs,WV,25411,30-Jun-21,MORGAN
114678,Belington Shop N Save,806 Crim Ave,Belington,WV,26250,30-Jun-21,BARBOUR
114719,Bill'S Place,3420 Adolph Rd,Mill Creek,WV,26280,30-Jun-21,RANDOLPH
114782,C & J'S Dairy King,Rt 219 & 250 S,Valley Bend,WV,26293,30-Jun-20,RANDOLPH
115171,Kroger  #722,Rt 20 South,Buckhannon,WV,26201,30-Jun-21,UPSHUR
115180,Kroger  #730,450 11th St,Elkins,WV,26241,30-Jun-21,RANDOLPH
115202,Little General #2060,1 Seneca Trail,Marlinton,WV,24954,30-Jun-21,POCAHONTAS
115220,Lynn'S Self Serv,501 Randolph Ave,Elkins,WV,26241,30-Jun-18,RANDOLPH
115248,J & J'S Mountaineer Mart  #20,Us Rt 119,Philippi,WV,26416,30-Jun-20,BARBOUR
115513,T-Mart,1214 S Davis Ave,Elkins,WV,26241,30-Jun-21,RANDOLPH
115586,Thompson'S Motel,Jct Rt 33 & 220 N,Franklin,WV,26807,30-Jun-21,PENDLETON
115617,Go Mart #02,78 Baker Island Rd,Webster Springs,WV,26288,30-Jun-21,WEBSTER
115702,Legato Super Market,5442 Coal Heritage Rd,Iaeger,WV,24844,30-Jun-20,MCDOWELL
116209,Go Mart #28,Us Rt 60,Alloy,WV,25002,30-Jun-21,FAYETTE
116227,Little General #2375,2001 Robert C Byrd Dr,Mac Arthur,WV,25873,30-Jun-21,RALEIGH
116263,Little General #2360,7006 Harper Rd,Glen Daniel,WV,25844,30-Jun-21,RALEIGH
116414,Quality Inn,178 Coleman Dr,Lewisburg,WV,24901,30-Jun-21,GREENBRIER
116450,C & V Service Station,Us Rt 52 Box 369,Northfork,WV,24868,30-Jun-20,MCDOWELL
